t_Android;t_unix;x;y;z;a
437930663863100;1709137853193;0.6547361;-4.039982;9.29163;3
437930666374506;1709137853193;0.6547361;-4.039982;9.29163;3
437930668847579;1709137853193;0.6547361;-4.039982;9.29163;3
437930671370079;1709137853193;0.6547361;-4.039982;9.29163;3
437930673889766;1709137853193;0.6547361;-4.039982;9.29163;3
437930676361068;1709137853193;0.6547361;-4.039982;9.29163;3
437930678832371;1709137853240;0.6547361;-4.039982;9.29163;3
437930681303673;1709137853240;0.6547361;-4.039982;9.29163;3
437930683775131;1709137853240;0.6547361;-4.039982;9.29163;3
437930686246485;1709137853240;0.6547361;-4.039982;9.29163;3
437930688717943;1709137853240;0.6547361;-4.039982;9.29163;3
437930691189402;1709137853240;0.6547361;-4.039982;9.29163;3
437930693660964;1709137853240;0.6547361;-4.039982;9.29163;3
437930696132631;1709137853240;0.6547361;-4.039982;9.29163;3
437930698604402;1709137853240;0.6547361;-4.039982;9.29163;3
437930701076277;1709137853240;0.6547361;-4.039982;9.29163;3
437930703548256;1709137853240;0.6547361;-4.039982;9.29163;3
437930706022787;1709137853240;0.6547361;-4.039982;9.29163;3
437930708492475;1709137853240;0.6547361;-4.039982;9.29163;3
437930710964558;1709137853240;0.6547361;-4.039982;9.29163;3
437930713436641;1709137853240;0.6547361;-4.039982;9.29163;3
437930715908777;1709137853240;0.6547361;-4.039982;9.29163;3
437930718380860;1709137853240;0.6547361;-4.039982;9.29163;3
437930720852943;1709137853240;0.6547361;-4.039982;9.29163;3
437930723325027;1709137853240;0.6547361;-4.039982;9.29163;3
437930725797162;1709137853242;0.6547361;-4.039982;9.29163;3
437930728269246;1709137853255;0.6547361;-4.039982;9.29163;3
437930730741329;1709137853255;0.6547361;-4.039982;9.29163;3
437930733213412;1709137853255;0.6547361;-4.039982;9.29163;3
437930735685548;1709137853255;0.6547361;-4.039982;9.29163;3
437930738157631;1709137853255;0.6547361;-4.039982;9.29163;3
437930740629714;1709137853257;0.6547361;-4.039982;9.29163;3
437930743101798;1709137853260;0.6547361;-4.039982;9.29163;3
437930745573933;1709137853264;0.6547361;-4.039982;9.29163;3
437930748046016;1709137853268;0.6547361;-4.039982;9.29163;3
437930750518100;1709137853268;0.6547361;-4.039982;9.29163;3
437930752990183;1709137853269;0.6547361;-4.039982;9.29163;3
437930755462318;1709137853272;0.6547361;-4.039982;9.29163;3
437930757934402;1709137853274;0.6547361;-4.039982;9.29163;3
437930760406485;1709137853278;0.6547361;-4.039982;9.29163;3
437930762878568;1709137853279;0.6547361;-4.039982;9.29163;3
437930765350704;1709137853282;0.6547361;-4.039982;9.29163;3
437930767822787;1709137853284;0.6547361;-4.039982;9.29163;3
437930770294871;1709137853286;0.6547361;-4.039982;9.29163;3
437930772767006;1709137853289;0.6547361;-4.039982;9.29163;3
437930775239089;1709137853291;0.6547361;-4.039982;9.29163;3
437930777711173;1709137853294;0.6547361;-4.039982;9.29163;3
437930780183256;1709137853296;0.6547361;-4.039982;9.29163;3
437930782655339;1709137853300;0.6547361;-4.039982;9.29163;3
437930785127475;1709137853301;0.6547361;-4.039982;9.29163;3
437930787599558;1709137853304;0.6547361;-4.039982;9.29163;3
437930790071641;1709137853306;0.6547361;-4.039982;9.29163;3
437930792543777;1709137853309;0.6547361;-4.039982;9.29163;3
437930795015860;1709137853311;0.6547361;-4.039982;9.29163;3
437930797487943;1709137853314;0.6547361;-4.039982;9.29163;3
437930799960027;1709137853316;0.6547361;-4.039982;9.29163;3
437930802432162;1709137853318;0.6547361;-4.039982;9.29163;3
437930804904246;1709137853323;0.6547361;-4.039982;9.29163;3
437930807376329;1709137853323;0.6547361;-4.039982;9.29163;3
437930809848412;1709137853326;0.6547361;-4.039982;9.29163;3
437930812320548;1709137853328;0.6547361;-4.039982;9.29163;3
437930814792631;1709137853331;0.6547361;-4.039982;9.29163;3
437930817264714;1709137853333;0.6547361;-4.039982;9.29163;3
437930819736798;1709137853336;0.6547361;-4.039982;9.29163;3
437930822208933;1709137853338;0.6547361;-4.039982;9.29163;3
437930824681016;1709137853341;0.6547361;-4.039982;9.29163;3
437930827153100;1709137853343;0.6547361;-4.039982;9.29163;3
437930829625183;1709137853346;0.6547361;-4.039982;9.29163;3
437930832097318;1709137853348;0.6547361;-4.039982;9.29163;3
437930834569402;1709137853351;0.6547361;-4.039982;9.29163;3
437930837041485;1709137853353;0.6547361;-4.039982;9.29163;3
437930839513621;1709137853356;0.6547361;-4.039982;9.29163;3
437930841985704;1709137853358;0.6547361;-4.039982;9.29163;3
437930844457787;1709137853361;0.6547361;-4.039982;9.29163;3
437930846929871;1709137853363;0.6547361;-4.039982;9.29163;3
437930849401954;1709137853365;0.6547361;-4.039982;9.29163;3
437930851874089;1709137853368;0.6547361;-4.039982;9.29163;3
437930854346173;1709137853371;0.6547361;-4.039982;9.29163;3
437930856818256;1709137853373;0.6547361;-4.039982;9.29163;3
437930859290391;1709137853375;0.6547361;-4.039982;9.29163;3
437930861762475;1709137853378;0.6547361;-4.039982;9.29163;3
437930864234558;1709137853380;0.6547361;-4.039982;9.29163;3
437930866706641;1709137853383;0.6547361;-4.039982;9.29163;3
437930869178777;1709137853385;0.6547361;-4.039982;9.29163;3
437930871650860;1709137853388;0.6547361;-4.039982;9.29163;3
437930874122943;1709137853390;0.6547361;-4.039982;9.29163;3
437930876595027;1709137853393;0.6547361;-4.039982;9.29163;3
437930879067162;1709137853395;0.6547361;-4.039982;9.29163;3
437930881539246;1709137853397;0.6547361;-4.039982;9.29163;3
437930884011329;1709137853400;0.6547361;-4.039982;9.29163;3
437930886483464;1709137853402;0.6547361;-4.039982;9.29163;3
437930888955548;1709137853405;0.6547361;-4.039982;9.29163;3
437930891427631;1709137853407;0.6547361;-4.039982;9.29163;3
437930893899714;1709137853410;0.6547361;-4.039982;9.29163;3
437930896371850;1709137853412;0.6547361;-4.039982;9.29163;3
437930898843933;1709137853415;0.6547361;-4.039982;9.29163;3
437930901316016;1709137853417;0.6547361;-4.039982;9.29163;3
437930903788100;1709137853421;0.6547361;-4.039982;9.29163;3
437930906260235;1709137853422;0.6547361;-4.039982;9.29163;3
437930908732318;1709137853425;0.6547361;-4.039982;9.29163;3
437930911204402;1709137853427;0.6547361;-4.039982;9.29163;3
437930913676485;1709137853430;0.6547361;-4.039982;9.29163;3
437930916148621;1709137853440;0.6547361;-4.039982;9.29163;3
437930918620704;1709137853440;0.6547361;-4.039982;9.29163;3
437930921092787;1709137853440;0.6547361;-4.039982;9.29163;3
437930923564871;1709137853440;0.6547361;-4.039982;9.29163;3
437930926037006;1709137853442;0.6547361;-4.039982;9.29163;3
437930928509089;1709137853445;0.6547361;-4.039982;9.29163;3
437930930981173;1709137853447;0.6547361;-4.039982;9.29163;3
437930933453256;1709137853449;0.6547361;-4.039982;9.29163;3
437930935925391;1709137853452;0.6547361;-4.039982;9.29163;3
437930938397475;1709137853455;0.6547361;-4.039982;9.29163;3
437930940869558;1709137853457;0.6547361;-4.039982;9.29163;3
437930943341693;1709137853459;0.6547361;-4.039982;9.29163;3
437930945813777;1709137853462;0.6547361;-4.039982;9.29163;3
437930948285860;1709137853464;0.6547361;-4.039982;9.29163;3
437930950757943;1709137853467;0.6547361;-4.039982;9.29163;3
437930953230079;1709137853469;0.6547361;-4.039982;9.29163;3
437930955702162;1709137853472;0.6547361;-4.039982;9.29163;3
437930958174246;1709137853474;0.6547361;-4.039982;9.29163;3
437930960646329;1709137853477;0.6547361;-4.039982;9.29163;3
437930963118464;1709137853479;0.6547361;-4.039982;9.29163;3
437930965590548;1709137853482;0.6547361;-4.039982;9.29163;3
437930968062631;1709137853484;0.6547361;-4.039982;9.29163;3
437930970534766;1709137853486;0.6547361;-4.039982;9.29163;3
437930973006850;1709137853489;0.6547361;-4.039982;9.29163;3
437930975478933;1709137853492;0.6547361;-4.039982;9.29163;3
437930977951016;1709137853494;0.6547361;-4.039982;9.29163;3
437930980423152;1709137853496;0.6547361;-4.039982;9.29163;3
437930982895235;1709137853499;0.6547361;-4.039982;9.29163;3
437930985367318;1709137853501;0.6547361;-4.039982;9.29163;3
437930987839402;1709137853504;0.6547361;-4.039982;9.29163;3
437930990311537;1709137853506;0.6547361;-4.039982;9.29163;3
437930992783621;1709137853509;0.6547361;-4.039982;9.29163;3
437930995255704;1709137853511;0.6547361;-4.039982;9.29163;3
437930997727787;1709137853514;0.6547361;-4.039982;9.29163;3
437931000199923;1709137853516;0.6547361;-4.039982;9.29163;3
437931002672006;1709137853519;0.6547361;-4.039982;9.29163;3
437931005144089;1709137853522;0.6547361;-4.039982;9.29163;3
437931007616225;1709137853524;0.6547361;-4.039982;9.29163;3
437931010088308;1709137853526;0.6547361;-4.039982;9.29163;3
437931012560391;1709137853528;0.6547361;-4.039982;9.29163;3
437931015032475;1709137853531;0.6547361;-4.039982;9.29163;3
437931017504610;1709137853534;0.6547361;-4.039982;9.29163;3
437931019976693;1709137853536;0.6547361;-4.039982;9.29163;3
437931022448777;1709137853538;0.6547361;-4.039982;9.29163;3
437931024920860;1709137853541;0.6547361;-4.039982;9.29163;3
437931027392996;1709137853543;0.6547361;-4.039982;9.29163;3
437931029865079;1709137853546;0.6547361;-4.039982;9.29163;3
437931032337162;1709137853549;0.6547361;-4.039982;9.29163;3
437931034809246;1709137853551;0.6547361;-4.039982;9.29163;3
437931037281381;1709137853553;0.6547361;-4.039982;9.29163;3
437931039753464;1709137853556;0.6547361;-4.039982;9.29163;3
437931042225548;1709137853558;0.6547361;-4.039982;9.29163;3
437931044697683;1709137853561;0.6547361;-4.039982;9.29163;3
437931047169766;1709137853563;0.6547361;-4.039982;9.29163;3
437931049641850;1709137853577;0.6547361;-4.039982;9.29163;3
437931052113933;1709137853577;0.6547361;-4.039982;9.29163;3
437931054586068;1709137853577;0.6547361;-4.039982;9.29163;3
437931057058152;1709137853577;0.6547361;-4.039982;9.29163;3
437931059530235;1709137853577;0.6547361;-4.039982;9.29163;3
437931062002318;1709137853578;0.6547361;-4.039982;9.29163;3
437931064474454;1709137853581;0.6547361;-4.039982;9.29163;3
437931066946537;1709137853583;0.6547361;-4.039982;9.29163;3
437931069418621;1709137853585;0.6547361;-4.039982;9.29163;3
437931071890704;1709137853588;0.6547361;-4.039982;9.29163;3
437931074362839;1709137853591;0.6547361;-4.039982;9.29163;3
437931076834923;1709137853593;0.6547361;-4.039982;9.29163;3
437931079307006;1709137853595;0.6547361;-4.039982;9.29163;3
437931081779141;1709137853598;0.6547361;-4.039982;9.29163;3
437931084251225;1709137853600;0.6547361;-4.039982;9.29163;3
437931086723308;1709137853603;0.6547361;-4.039982;9.29163;3
437931089195391;1709137853605;0.6547361;-4.039982;9.29163;3
437931091667527;1709137853608;0.6547361;-4.039982;9.29163;3
437931094139610;1709137853610;0.6547361;-4.039982;9.29163;3
437931096611693;1709137853613;0.6547361;-4.039982;9.29163;3
437931099083829;1709137853615;0.6547361;-4.039982;9.29163;3
437931101555912;1709137853617;0.6547361;-4.039982;9.29163;3
437931104027996;1709137853620;0.6547361;-4.039982;9.29163;3
437931106500079;1709137853623;0.6547361;-4.039982;9.29163;3
437931108972162;1709137853625;0.6547361;-4.039982;9.29163;3
437931111444298;1709137853627;0.6547361;-4.039982;9.29163;3
437931113916381;1709137853630;0.6547361;-4.039982;9.29163;3
437931116388464;1709137853632;0.6547361;-4.039982;9.29163;3
437931118860600;1709137853635;0.6547361;-4.039982;9.29163;3
437931121332683;1709137853637;0.6547361;-4.039982;9.29163;3
437931123804766;1709137853640;0.6547361;-4.039982;9.29163;3
