t_Android;t_unix;x;y;z;a
437930672949506;1709137853193;9.0375;35.8875;-2.3625002;0
437930682949506;1709137853240;9.0375;35.8875;-2.3625002;0
437930692949506;1709137853240;9.0375;35.8875;-2.3625002;0
437930702949506;1709137853240;9.0375;35.8875;-2.3625002;0
437930712949506;1709137853240;9.0375;35.8875;-2.3625002;0
437930722949506;1709137853242;9.0375;35.8875;-2.3625002;0
437930732949506;1709137853255;9.0375;35.8875;-2.3625002;0
437930742949506;1709137853264;9.0375;35.8875;-2.3625002;0
437930752949506;1709137853272;9.0375;35.8875;-2.3625002;0
437930762949506;1709137853281;9.0375;35.8875;-2.3625002;0
437930772949506;1709137853291;9.0375;35.8875;-2.3625002;0
437930782949506;1709137853301;9.0375;35.8875;-2.3625002;0
437930792949506;1709137853311;9.0375;35.8875;-2.3625002;0
437930802949506;1709137853323;9.0375;35.8875;-2.3625002;0
437930812949506;1709137853331;9.0375;35.8875;-2.3625002;0
437930822949506;1709137853341;9.0375;35.8875;-2.3625002;0
437930832949506;1709137853351;9.0375;35.8875;-2.3625002;0
437930842949506;1709137853361;9.0375;35.8875;-2.3625002;0
437930852949506;1709137853371;9.0375;35.8875;-2.3625002;0
437930862949506;1709137853381;9.0375;35.8875;-2.3625002;0
437930872949506;1709137853391;9.0375;35.8875;-2.3625002;0
437930882949506;1709137853401;9.0375;35.8875;-2.3625002;0
437930892949506;1709137853410;9.0375;35.8875;-2.3625002;0
437930902949506;1709137853421;9.0375;35.8875;-2.3625002;0
437930912949506;1709137853431;9.0375;35.8875;-2.3625002;0
437930922949506;1709137853441;9.0375;35.8875;-2.3625002;0
437930932949506;1709137853451;9.0375;35.8875;-2.3625002;0
437930942949506;1709137853461;9.0375;35.8875;-2.3625002;0
437930952949506;1709137853471;9.0375;35.8875;-2.3625002;0
437930962949506;1709137853481;9.0375;35.8875;-2.3625002;0
437930972949506;1709137853491;9.0375;35.8875;-2.3625002;0
437930982949506;1709137853501;9.0375;35.8875;-2.3625002;0
437930992949506;1709137853511;9.0375;35.8875;-2.3625002;0
437931002949506;1709137853521;9.0375;35.8875;-2.3625002;0
437931012949506;1709137853531;9.0375;35.8875;-2.3625002;0
437931022949506;1709137853541;9.0375;35.8875;-2.3625002;0
437931032949506;1709137853551;9.0375;35.8875;-2.3625002;0
437931042949506;1709137853561;9.0375;35.8875;-2.3625002;0
437931052949506;1709137853577;9.0375;35.8875;-2.3625002;0
437931062949506;1709137853581;9.0375;35.8875;-2.3625002;0
437931072949506;1709137853591;9.0375;35.8875;-2.3625002;0
437931082949506;1709137853601;9.0375;35.8875;-2.3625002;0
437931092949506;1709137853611;9.0375;35.8875;-2.3625002;0
437931102949506;1709137853621;9.0375;35.8875;-2.3625002;0
437931112949506;1709137853631;9.0375;35.8875;-2.3625002;0
437931122949506;1709137853641;9.0375;35.8875;-2.3625002;0
437931132949506;1709137853650;9.0375;35.8875;-2.3625002;0
437931142949506;1709137853661;9.0375;35.8875;-2.3625002;0
437931152949506;1709137853670;9.0375;35.8875;-2.3625002;0
437931162949506;1709137853681;9.0375;35.8875;-2.3625002;0
437931172949506;1709137853691;9.0375;35.8875;-2.3625002;0
437931182949506;1709137853701;9.0375;35.8875;-2.3625002;0
437931192949506;1709137853711;9.0375;35.8875;-2.3625002;0
437931202949506;1709137853722;9.0375;35.8875;-2.3625002;0
437931212949506;1709137853731;9.0375;35.8875;-2.3625002;0
437931222949506;1709137853741;9.0375;35.8875;-2.3625002;0
437931232949506;1709137853751;9.0375;35.8875;-2.3625002;0
437931242949506;1709137853761;9.0375;35.8875;-2.3625002;0
437931252949506;1709137853771;9.0375;35.8875;-2.3625002;0
437931262949506;1709137853781;9.0375;35.8875;-2.3625002;0
437931272949506;1709137853791;9.0375;35.8875;-2.3625002;0
437931282949506;1709137853801;9.0375;35.8875;-2.3625002;0
437931292949506;1709137853811;9.0375;35.8875;-2.3625002;0
437931302949506;1709137853822;9.0375;35.8875;-2.3625002;0
437931312949506;1709137853831;9.0375;35.8875;-2.3625002;0
437931322949506;1709137853841;9.0375;35.8875;-2.3625002;0
437931332949506;1709137853851;9.0375;35.8875;-2.3625002;0
437931342949506;1709137853861;9.0375;35.8875;-2.3625002;0
437931352949506;1709137853871;9.0375;35.8875;-2.3625002;0
437931362949506;1709137853881;9.0375;35.8875;-2.3625002;0
437931372949506;1709137853891;9.0375;35.8875;-2.3625002;0
437931382949506;1709137853901;9.0375;35.8875;-2.3625002;0
437931392949506;1709137853911;9.0375;35.8875;-2.3625002;0
437931402949506;1709137853921;9.0375;35.8875;-2.3625002;0
437931412949506;1709137853931;9.0375;35.8875;-2.3625002;0
437931422949506;1709137853941;9.0375;35.8875;-2.3625002;0
